0,أقل من شهادة الثانوية العامة
1,شهادة الثانوية العامة
2,درجة الثانوية
3,شهادة ما بعد البكالوريا
4,درجة الماجستير
5,شهادة ما بعد الماجستير
6,الدرجة المهنية الأولى
7,درجة الدكتوراة
8,التدريب بعد الدكتوراة
9,الخدمات الفنية والعلمية والمهنية
10,التمويل والتأمين
11,التصنيع
12,الحكومة
13,الخدمات التعليمية
14,الرعاية الصحية والمساعدة الاجتماعية
15,معلومات
16,الفنون والترفيه والترويح
17,الزراعة والحراجة والصيد وصيد الأسماك
18,تجارة الجملة
19,النقل والتخزين
20,خدمات أخرى (عدا الإدارة العامة)
21,العقارات والتأجير
22,الإنشاءات
23,تجارة التجزئة
24,السكن وخدمات الغذاء
25,الخدمات الإدارية والمساندة
26,إدارة الشركات والمؤسسات
27,التعدين، واستخراج الحجارة، واستخراج النفط والغاز
28,المرافق
29,محاسب
30,مخمِّن
31,مشغِّل آلة الوصل بالإلصاق
32,محكِّم
33,مدير خدمات إدارية
34,مدرس تعليم الكبار
35,مدير إعلانات
36,وكيل مبيعات
37,فني صيانة طائرات
38,مهندس طيران
39,وكيل فنان، وممثل، وفنان
40,فني زراعة وتغذية
41,مهندس زراعي
42,مشغّل آلات زراعية
43,مفتش زراعي
44,مدرس علوم زراعية بعد المرحلة الثانوية
45,مراقب الحركة الجوية
46,مشرف مناولة شحنات الطائرات
47,ميكانيكي طائرات
48,مجمّع أنظمة الطائرات
49,أخصائي عمليات المطارات
50,طيّار/مهندس طيار
51,سائق سيارة إسعاف
52,موظف ملاهي
53,طبيب تخدير
54,موظف رعاية الحيوانات
55,عالم حيوانات
56,مدرب حيوانات
57,عالم آثار/علم الإنسان
58,مدرس علم الآثار/علم الإنسان بعد المرحلة الثانوية
59,مثمِّن عقاري
60,حكم
61,معماري
62,رسام معماري
63,مدير الهندسة المعمارية
64,مدرس فن العمارة بعد المرحلة الثانوية
65,مؤرشِف
66,مدرس دراسات ثقافية بعد المرحلة الثانوية
67,مخرج فني
68,مدير فني
69,عالم فلك
70,رياضي
71,مدرب رياضي
72,عالم طقس
73,مدرس علوم الأرض بعد المرحلة الثانوية
74,فني معدات صوت وصورة
75,أخصائي مجموعات الوسائط المتعددة
76,أخصائي سمع
77,موظف خدمات السيارات والسفن
78,مصلح هياكل سيارات
79,مصلح/مثبت زجاج سيارات
80,ميكانيكي سيارات
81,فني إلكترونيات الطائرات
82,حمال أمتعة
83,حاجب محكمة
84,خباز
85,حلاق
86,ساقي
87,مصلح دراجات
88,محصّل حسابات وفواتير
89,كاتب فواتير
90,عالم كيمياء/فيزياء حيوية
91,مدرس أحياء بعد المرحلة الثانوية
92,عالم أحياء
93,فني مختبرات الأحياء
94,مهندس طبي حيوي
95,صانع مراجل
96,وكيل حسابات
97,نحّات حجر
98,مشغل جسور وأقفال
99,محلل أخبار
100,فني بث
101,كاتب سمسرة
102,محلل ميزانيات
103,أخصائي محرك ديزل
104,سائق حافلات مدرسية
105,سائق حافلات عبور
106,أخصائي عمليات الأعمال
107,مدرس أعمال وتجارة بعد المرحلة الثانوية
108,جزار
109,مشتري منتجات زراعية
110,صانع أثاث
111,مصلح معدات تصوير
112,مشغل كاميرات
113,قبطان مركبة مائية
114,فني قلب وأوعية دموية
115,مدرس التعليم الفني في مدرسة متوسطة
116,مدرس التعليم الفني في مدرسة ثانوية
117,وكيل شحن وشحن جوي
118,نجار
119,مثبت سجاد
120,رسام خرائط
121,أمين صندوق
122,مجهز خرسانة وبناء إسمنت
123,رئيس طهاة
124,مهندس كيميائي
125,مشغّل معدات كيميائية
126,مشغّل مصنع كيميائية
127,فني كيميائي
128,مدرس كيمياء بعد المرحلة الثانوية
129,كيميائي
130,رئيس تنفيذي
131,أخصائي اجتماعي أسري
132,عامل رعاية أطفال
133,معالج يدوي
134,مدرب رقص
135,فني مدني
136,مهندس مدني
137,محقق شكاوى
138,منظّف مركبات/معدات
139,مشغل معدات التخليل المعدنية
140,رجل دين مسيحي
141,استشاري نفسي سريري
142,مدرب/كشّاف
143,مشغّل آلة طلاء/رش
144,صانع لفائف
145,مشغل آلات البيع
146,معِد طعام ومقدم خدمات
147,مصمم صناعي
148,غواص تجاري
149,طيار تجاري
150,مدرس مهارات التواصل بعد المرحلة الثانوية
151,عامل في مجال صحة المجتمع
152,مدير التعويضات والمستحقات
153,أخصائي تحليل وظائف
154,ضابط امتثال
155,متخصص علم حاسوب
156,مدير نظم الحاسوب وتقنية المعلومات
157,مهندس معدات حاسوبية
158,مهندس شبكات حاسوبية
159,أخصائي دعم شبكات الحاسوب
160,مبرمج أدوات آلات محوسبة
161,فني حاسوب
162,مشغل حاسوب
163,مبرمج
164,مدرس علوم بعد مرحلة الثانوية
165,محلل نظم حاسوبية
166,أخصائي دعم مستخدمي الحاسوب
167,مصلح حاسوب
168,مشغل أدوات آلات محوسبة
169,موظف استقبال وإرشاد
